pid,process_name,avg_cpu,max_cpu,avg_memory,total_disk_write,max_write_burst,process_lifetime,label
0,System Idle Process,510.63666666666666,639.2,0.0,0,0,1224485.0,0
4,System,1.3066666666666669,14.2,0.0,1298531,360448,1224485.0,1
124,Registry,0.0,0.0,1.509666666666667,1335296,221184,1224486.0,1
152,conhost.exe,0.0,0.0,0.28,0,0,57.0,0
220,StartMenuExperienceHost.exe,0.0,0.0,0.8,0,0,97.0,0
360,svchost.exe,0.0,0.0,0.09,0,0,106.0,0
392,conhost.exe,0.0,0.0,0.26,0,0,97.0,0
404,smss.exe,0.0,0.0,0.01,0,0,1224486.0,0
448,svchost.exe,0.0,0.0,0.0946666666666666,0,0,1224486.0,0
496,svchost.exe,0.0,0.0,0.07,0,0,57.0,0
516,csrss.exe,0.0,0.0,0.064,0,0,1224486.0,0
592,wininit.exe,0.0,0.0,0.0813333333333333,0,0,1224486.0,0
660,cmd.exe,0.0,0.0,0.1,0,0,430.0,0
660,conhost.exe,0.0,0.0,0.25,0,0,35.0,0
664,RuntimeBroker.exe,0.0,0.0,0.5172727272727271,0,0,26834.0,0
716,dllhost.exe,0.0,0.0,0.16,1114112,1114112,97.0,1
736,services.exe,0.0,0.0,0.115,0,0,1224487.0,0
760,lsass.exe,0.4166666666666667,12.5,0.3746666666666667,1684,888,1224487.0,1
784,python.exe,0.0,0.0,0.1783333333333333,36171,7288,122.0,1
816,svchost.exe,0.0,0.0,0.12,0,0,1224487.0,0
872,svchost.exe,0.0,0.0,0.4806666666666666,0,0,1224487.0,0
892,SkypeApp.exe,0.0,0.0,2.593888888888889,13116,4372,11752.0,1
908,fontdrvhost.exe,0.0,0.0,0.0453333333333333,0,0,1224487.0,0
916,winlogon.exe,0.0,0.0,0.1186666666666666,0,0,1224488.0,0
956,SearchApp.exe,0.0,0.0,2.75,0,0,98.0,0
964,msedge.exe,0.0,0.0,0.23,0,0,0.0,0
980,cmd.exe,0.0,0.0,0.08,0,0,103.0,0
996,svchost.exe,2.216666666666667,28.7,0.2086666666666666,0,0,1224488.0,0
1040,svchost.exe,0.0,0.0,0.1453333333333333,0,0,1224488.0,0
1060,SystemSettings.exe,0.0,0.0,0.02,0,0,98.0,0
1068,msedge.exe,0.0,0.0,1.485,663364,391720,329.0,1
1096,svchost.exe,0.0,0.0,0.2056666666666666,1204144,262144,1224488.0,1
1104,ctfmon.exe,0.8333333333333334,25.0,0.2526666666666666,0,0,1224488.0,0
1132,svchost.exe,0.0,0.0,0.14,0,0,1224489.0,0
1184,cmd.exe,0.0,0.0,0.08125,0,0,98.0,0
1200,SystemSettings.exe,0.0,0.0,0.02,0,0,26836.0,0
1208,svchost.exe,0.0,0.0,0.09,0,0,29.0,0
1252,svchost.exe,0.0,0.0,0.09,0,0,11754.0,0
1264,msedge.exe,0.0,0.0,1.76,0,0,0.0,0
1280,svchost.exe,0.0,0.0,0.0999999999999999,0,0,1224489.0,0
1316,msedge.exe,0.0,0.0,0.4578571428571429,840,336,17071.0,1
1324,VBoxService.exe,0.0,0.0,0.08,1040,64,1224489.0,1
